epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,558.342,1.32072,1.5296,1.4608,0.6486,0.58285,0.61151,0.4254,1.57918,1.71603,1.62067,0.0005941,0.0005941,0.0005941
43,571.367,1.31505,1.45473,1.45206,0.6234,0.60231,0.60977,0.42725,1.54448,1.7213,1.61319,0.0005842,0.0005842,0.0005842
44,584.406,1.29039,1.48438,1.43915,0.62702,0.59905,0.60894,0.43047,1.57465,1.76398,1.61896,0.0005743,0.0005743,0.0005743
45,598.099,1.2858,1.45276,1.43575,0.6029,0.59773,0.60858,0.44584,1.48477,1.7431,1.55647,0.0005644,0.0005644,0.0005644
46,611.23,1.32096,1.47948,1.44495,0.62631,0.59229,0.60585,0.43314,1.55366,1.76968,1.61578,0.0005545,0.0005545,0.0005545
47,624.041,1.27723,1.44105,1.42237,0.62247,0.60145,0.61253,0.43633,1.55126,1.77259,1.61881,0.0005446,0.0005446,0.0005446
48,636.267,1.28074,1.41168,1.41452,0.64074,0.56673,0.58417,0.42095,1.63958,1.90232,1.72071,0.0005347,0.0005347,0.0005347
49,648.719,1.2915,1.43743,1.42716,0.66874,0.59058,0.622,0.44593,1.50902,1.67824,1.56815,0.0005248,0.0005248,0.0005248
50,662.351,1.26941,1.37843,1.41065,0.59636,0.59062,0.60398,0.43522,1.52452,1.73356,1.58196,0.0005149,0.0005149,0.0005149
51,673.857,1.27076,1.38798,1.41607,0.63038,0.61666,0.61719,0.45446,1.45416,1.69157,1.52634,0.000505,0.000505,0.000505
52,685.941,1.2579,1.39662,1.41591,0.62535,0.62828,0.62551,0.43952,1.55763,1.70685,1.58935,0.0004951,0.0004951,0.0004951
53,698.157,1.2706,1.36388,1.4044,0.59177,0.59445,0.59859,0.4274,1.5299,1.77036,1.60292,0.0004852,0.0004852,0.0004852
54,710.368,1.24982,1.35871,1.40793,0.68656,0.58777,0.62255,0.44231,1.51052,1.67581,1.56446,0.0004753,0.0004753,0.0004753
55,722.041,1.25551,1.34672,1.40479,0.67342,0.59797,0.63662,0.45516,1.45781,1.59868,1.54093,0.0004654,0.0004654,0.0004654
56,734.519,1.24717,1.34785,1.41236,0.61168,0.611,0.62674,0.44533,1.54709,1.6928,1.59194,0.0004555,0.0004555,0.0004555
57,747.714,1.24698,1.34827,1.39938,0.61483,0.63763,0.63142,0.4512,1.52179,1.66049,1.56328,0.0004456,0.0004456,0.0004456
58,760.744,1.23273,1.31503,1.38163,0.64421,0.64104,0.6418,0.45671,1.51445,1.6089,1.58053,0.0004357,0.0004357,0.0004357
59,772.466,1.23335,1.31877,1.37627,0.64599,0.61928,0.63541,0.45125,1.52469,1.60408,1.57771,0.0004258,0.0004258,0.0004258
